Name,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M
Group203,-5.500051011983128,-64.64195098643032,-0.0,-133.30957551592874,152.57913959219053,-50.87243792215143,-32.771707285485974
Group204,-5.514645100242394,-64.07671534857715,-0.0,-118.1468316473272,152.05771969497104,-35.680472401175706,-32.4935689600601
Group202,-5.514645100242357,-64.0767157521613,-0.0,-94.63079561200723,152.05771969497056,-12.164436769440439,-32.49356896005988
Group201,-4.194109659453575,-64.88933045008328,-0.0,-89.26568690576586,152.07415633052096,-6.274970684781726,-32.533190006202034
Group198,-3.733111079699015,-65.24875943423754,-0.0,-83.95429314066351,156.25524443366737,3.3190807790672325,-42.75999599490434
Group199,-3.696117820536569,-64.60471708274514,-0.0,-83.57862589049213,156.2543994520651,4.374938658291311,-42.758572786761924
Group200,-3.4738044406201953,-64.10427316202927,-0.0,-82.20360301843137,156.83524793969337,7.0535673186126076,-43.22518637459804
Group205,-3.117659832618644,-65.96148256759521,-0.0,-81.50650196958193,157.89049755755866,7.304853187762885,-39.51201388884045
Group196,-3.1344721715480217,-65.29656161671636,-0.0,-78.69301605274823,157.57291997720304,10.448870136190283,-39.3606366253397
Group194,-2.9009289037131025,-66.16622516491522,-0.0,-77.74299476017869,158.176420906731,11.366272077923917,-36.76524999129738
Group197,-2.8841875839807796,-64.89091857177091,-0.0,-76.96605639887082,158.15755592511448,13.416393370491907,-36.55307717944354
Group206,-2.420720230051829,-65.66686018958073,-0.0,-82.35828269154186,163.80602146542483,13.360158354250462,-34.877487199346355
Group195,-2.8894297494761783,-65.56087027421435,-0.0,-74.4876721092833,158.00569820414887,15.067726071174915,-36.61951421755753
Group189,-2.3974660070214218,-65.01635074984614,-0.0,-79.48465411744355,163.72466975673535,16.826198882424166,-34.5424427543068
Group190,-2.461712406751988,-65.64197037888043,-0.0,-72.80985227137597,158.2873678474096,17.373832790401053,-32.090184130849096
Group193,-2.5421008352308476,-65.20281754617442,-0.0,-73.93468842844909,159.33541602892274,17.655809219068793,-32.5187010354783
Group208,-2.5300951518822226,-65.89519111652199,-0.0,-72.32995430723703,158.44300933827006,17.687768762628746,-32.365123639125684
Group207,-2.4964025398158367,-65.709313670755,-0.0,-72.11727476021387,157.97620102261538,17.65321005183067,-31.93412579134142
Group192,-2.5100613011868216,-65.41965993472783,-0.0,-72.65998495458717,158.20516504052523,17.61545885002356,-31.81154529967806
Group191,-2.4987538793577673,-65.37990812856502,-0.0,-71.64834001988704,158.13592323516772,18.608921207357938,-31.96420426678236
Group209,-2.4627727970635793,-65.22412586526175,-0.0,-71.4561297694579,157.95422352740331,18.811195095619826,-31.80113908663787
Group210,-2.4862107635787534,-65.4253187226229,-0.0,-71.29044509541956,158.1975929176414,18.995618336020343,-31.803752003670578
Group186,-2.4856661342103274,-65.43615728434665,-0.0,-70.83916401117757,158.16576264406325,19.404775214328787,-31.796785290808124
Group211,-2.4599230628372006,-64.57754387390752,-0.0,-70.75993409176722,158.07979257903904,20.2823915505269,-31.764341216123345
Group187,-2.457067445428922,-64.37224780273752,-0.0,-70.06155365477669,157.86586142218346,20.974992519240267,-31.72746733664077
Group188,-2.456905862485194,-64.36832434747127,-0.0,-69.90789278827269,157.86117822007327,21.128055221844164,-31.725382355453334
