Name,Heat Exchanger,Tank Cost,Pumps,Pipes and Valves,Charger,Industrial Heater,Upgrade Cost
Group203,-655.9265471340186,-10940.806370448205,-664.2972750455026,-195.5127560585815,-266.23136597129803,-0.0,-0.0
Group205,-754.7655845351289,-12249.039855226018,-675.0898580741409,-240.30214115781126,-156.68241683866853,-0.0,-0.0
Group206,-705.8239090618379,-14233.671164806157,-662.8595750965144,-216.27192704203014,-141.01417515480168,-0.0,-0.0
Group201,-838.5387940676677,-15256.630295705107,-712.5057415206738,-272.6367451003902,-344.7013170450707,-0.0,-0.0
Group204,-1080.8609908744488,-20684.881445307536,-783.1596873850988,-372.40524963539326,-545.121975516543,-0.0,-0.0
Group202,-1080.8609908744497,-20684.881445307536,-783.1596873850988,-372.4052496353932,-545.121975516543,-0.0,-0.0
Group198,-1289.1759300301233,-21781.573602436958,-824.8325588943446,-486.6486870519194,-344.7013170450707,-0.0,-0.0
Group194,-1370.515036490946,-29583.84071499013,-846.8851890180833,-528.6647105471848,-344.7013170450707,-0.0,-0.0
Group199,-2158.71225432456,-41583.0041501069,-1087.9010424374164,-938.3239817221969,-658.0661507224078,-0.0,-0.0
Group196,-2278.851167859967,-50799.61487491002,-1124.7696432988757,-1009.2689928628073,-658.0661507224078,-0.0,-0.0
Group195,-2278.8511678599657,-55920.4315737221,-1124.7696432988757,-1009.2689928628073,-658.0661507224078,-0.0,-0.0
Group189,-2278.8511678599657,-66423.79876909542,-1124.7696432988757,-1009.2689928628072,-658.0661507224078,-0.0,-0.0
Group207,-2653.5155968178565,-79106.84558428392,-1233.9513258959948,-1201.5107057890564,-783.4120841933427,-0.0,-0.0
Group208,-3190.2416335422017,-93752.71586521257,-1370.7778622436426,-1441.8128469468675,-940.0945010320112,-0.0,-0.0
Group190,-3035.8640448064666,-94891.1410987077,-1373.6501456758,-1441.8128469468675,-940.0945010320112,-0.0,-0.0
Group200,-4589.880273001149,-105194.21386389513,-1923.3527753453372,-2403.0214115781127,-1566.8241683866854,-0.0,-0.0
Group197,-4589.880273001149,-131520.17878837077,-1923.3527753453368,-2403.0214115781127,-1566.8241683866854,-0.0,-0.0
Group191,-4497.869492518975,-153800.72475815457,-1887.1622676625968,-2354.96098334655,-1535.4876850189517,-0.0,-0.0
Group209,-4521.371649042958,-154699.97508939847,-1895.5948643783702,-2354.96098334655,-1535.4876850189517,-0.0,-0.0
Group193,-4676.459084833171,-156381.32730362072,-1921.4985540644261,-2403.0214115781127,-1566.8241683866854,-0.0,-0.0
Group192,-4679.84949664885,-157857.11743816166,-1923.3527753453372,-2403.0214115781127,-1566.8241683866854,-0.0,-0.0
Group186,-5198.432931197598,-157857.1174381617,-1923.3527753453372,-2403.0214115781127,-1566.8241683866854,-0.0,-0.0
Group210,-4948.295337490396,-157857.11743816183,-1923.3527753453372,-2403.0214115781127,-1566.8241683866854,-0.0,-0.0
Group187,-6638.771220353465,-187146.26934837468,-2183.097146094423,-2883.6256938937327,-1880.1890020640224,-0.0,-0.0
Group211,-6653.013059375458,-187146.2693483748,-2183.097146094423,-2883.625693893735,-1880.1890020640224,-0.0,-0.0
Group188,-7126.938519436829,-205860.89628321232,-2347.8611380041684,-3171.98826328311,-2068.2079022704247,-0.0,-0.0
