,Group ID,results_coal_objective,Age,Ownership,Capacity
0,Group188,-293028.44340000005,3.300479123887743,CENTRAL SECTOR,660.0
1,Group188,-293028.44340000005,3.300479123887743,CENTRAL SECTOR,660.0
2,Group188,-293028.44340000005,3.300479123887743,PVT SECTOR,660.0
3,Group188,-293028.44340000005,3.300479123887743,PVT SECTOR,660.0
4,Group188,-293028.44340000005,3.300479123887743,PVT SECTOR,660.0
5,Group188,-293028.44340000005,3.300479123887743,PVT SECTOR,660.0
6,Group188,-293028.44340000005,3.300479123887743,PVT SECTOR,660.0
7,Group188,-293028.44340000005,3.300479123887743,PVT SECTOR,660.0
8,Group187,-266389.494,4.55030800821355,STATE SECTOR,600.0
9,Group187,-266389.494,4.55030800821355,STATE SECTOR,600.0
10,Group211,-266389.494,8.465434633812455,PVT SECTOR,600.0
11,Group211,-266389.494,8.465434633812455,PVT SECTOR,600.0
12,Group186,-221991.2450000001,3.17590691307323,CENTRAL SECTOR,500.0
13,Group210,-221991.2450000001,7.299110198494175,CENTRAL SECTOR,500.0
14,Group210,-221991.2450000001,7.299110198494175,CENTRAL SECTOR,500.0
15,Group209,-217551.42010000008,9.8425735797399,CENTRAL SECTOR,490.0
16,Group191,-217551.42010000008,10.3381245722108,CENTRAL SECTOR,490.0
17,Group192,-221991.2450000001,14.6721423682409,CENTRAL SECTOR,500.0
18,Group193,-221991.2450000001,15.337440109514,CENTRAL SECTOR,500.0
19,Group197,-221991.2450000001,26.3422313483915,STATE SECTOR,500.0
20,Group197,-221991.2450000001,26.3422313483915,STATE SECTOR,500.0
21,Group200,-221991.2450000001,32.236824093086874,CENTRAL SECTOR,500.0
22,Group200,-221991.2450000001,32.236824093086874,CENTRAL SECTOR,500.0
23,Group208,-133194.747,8.841432808578594,PVT SECTOR,300.0
24,Group200,-221991.2450000001,32.236824093086874,CENTRAL SECTOR,500.0
25,Group208,-133194.747,8.841432808578594,PVT SECTOR,300.0
26,Group200,-221991.2450000001,32.236824093086874,CENTRAL SECTOR,500.0
27,Group208,-133194.747,8.841432808578594,PVT SECTOR,300.0
28,Group190,-133194.747,10.2532511978097,PVT SECTOR,300.0
29,Group207,-110995.62250000006,7.966461327857625,STATE SECTOR,250.0
30,Group207,-110995.62250000006,7.966461327857625,STATE SECTOR,250.0
31,Group207,-110995.62250000006,7.966461327857625,STATE SECTOR,250.0
32,Group207,-110995.62250000006,7.966461327857625,STATE SECTOR,250.0
33,Group199,-93236.32289999993,32.45722108145102,STATE SECTOR,210.0
34,Group199,-93236.32289999993,32.45722108145102,STATE SECTOR,210.0
35,Group199,-93236.32289999993,32.45722108145102,STATE SECTOR,210.0
36,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
37,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
38,Group196,-93236.32289999993,27.299794661190923,CENTRAL SECTOR,210.0
39,Group196,-93236.32289999993,27.299794661190923,CENTRAL SECTOR,210.0
40,Group196,-93236.32289999993,27.299794661190923,CENTRAL SECTOR,210.0
41,Group196,-93236.32289999993,27.299794661190923,CENTRAL SECTOR,210.0
42,Group203,-46618.16144999996,42.17659137577,STATE SECTOR,105.0
43,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
44,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
45,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
46,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
47,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
48,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
49,Group202,-88796.49800000002,37.78815879534561,STATE SECTOR,200.0
50,Group204,-88796.49800000002,41.88090349075975,STATE SECTOR,200.0
51,Group204,-88796.49800000002,41.88090349075975,STATE SECTOR,200.0
52,Group202,-88796.49800000002,37.78815879534561,STATE SECTOR,200.0
53,Group202,-88796.49800000002,37.78815879534561,STATE SECTOR,200.0
54,Group202,-88796.49800000002,37.78815879534561,STATE SECTOR,200.0
55,Group201,-48838.073899999996,35.2525667351129,STATE SECTOR,110.0
56,Group189,-93236.32289999993,13.757700205338766,STATE SECTOR,210.0
57,Group189,-93236.32289999993,13.757700205338766,STATE SECTOR,210.0
58,Group202,-88796.49800000002,37.78815879534561,CENTRAL SECTOR,200.0
59,Group202,-88796.49800000002,37.78815879534561,CENTRAL SECTOR,200.0
60,Group202,-88796.49800000002,37.78815879534561,CENTRAL SECTOR,200.0
61,Group202,-88796.49800000002,37.78815879534561,CENTRAL SECTOR,200.0
62,Group202,-88796.49800000002,37.78815879534561,CENTRAL SECTOR,200.0
63,Group198,-48838.073899999996,31.1759069130732,CENTRAL SECTOR,110.0
64,Group198,-48838.073899999996,31.1759069130732,CENTRAL SECTOR,110.0
65,Group198,-48838.073899999996,31.1759069130732,CENTRAL SECTOR,110.0
66,Group194,-48838.073899999996,22.2532511978097,CENTRAL SECTOR,110.0
67,Group199,-93236.32289999993,32.45722108145102,CENTRAL SECTOR,210.0
68,Group199,-93236.32289999993,32.45722108145102,CENTRAL SECTOR,210.0
69,Group195,-93236.32289999993,20.965092402464,CENTRAL SECTOR,210.0
70,Group195,-93236.32289999993,20.965092402464,CENTRAL SECTOR,210.0
71,Group189,-93236.32289999993,13.757700205338766,CENTRAL SECTOR,210.0
72,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
73,Group206,-19979.21205000002,8.381382614647496,PVT SECTOR,45.0
