DischargeCapacity,Unnamed: 0,Name,RemainingLife,CRF,EnergyCapacity,ChargeCapacity,CAPEX_storage,CAPEX_discharge,CAPEX_charge,steam_eff,Charge_inv,Discharge_inv,Energy_inv
45.0,2.0,2.0,42.0,0.0925,681.3064781054293,44.98059813550293,14233671.164806148,1268797.4842788368,457172.1020763515,0.401,10163.762178064684,28195.499650640817,20891.730259760643
50.0,1.0,1.0,25.0,0.1018,588.2342104008119,49.97844237278103,12289230.45325705,1363199.992453257,474383.6048236296,0.401,9491.764494885212,27263.99984906514,20891.730259760643
105.0,0.0,0.0,8.0,0.1807,523.6907730673311,78.84898501292858,10940806.370448206,1187245.243461668,573807.5565066254,0.401,7277.297943816781,11307.097556777791,20891.730259760647
110.0,5.333333333333333,5.333333333333333,20.666666666666668,0.11156666666666666,1061.161434642019,109.95257322011825,22169498.45460169,2135698.9516626336,680921.6377909536,0.401,6192.866777458593,19415.445015114852,20891.730259760647
200.0,4.5,4.5,11.0,0.1502,990.0990099009888,173.85437705553042,20684881.44530753,2048662.314980492,900985.7334395495,0.404,5182.416207570821,10243.31157490246,20891.730259760632
210.0,9.5,9.5,27.0,0.10245,2564.314407861796,209.90945796568036,53572964.910266474,3988816.1306231953,1025151.6927364937,0.405,4883.7803816543765,18994.36252677712,20891.730259760643
250.0,12.0,12.0,43.0,0.0923,3786.514788420892,249.8922118639053,79106845.58428392,4707160.21729324,1162843.71471471,0.407,4653.381175992834,18828.64086917296,20891.730259760643
300.0,13.5,13.5,41.0,0.09275,4542.043187369531,299.8706542366862,94891141.09870768,5456462.796273669,1334958.7421874795,0.407,4451.781871038985,18188.209320912232,20891.73025976064
490.0,17.5,17.5,40.5,0.09285,7404.842641844969,489.7887352532541,154699975.08939847,8318418.436794674,1988995.8465840064,0.41,4060.9260757203006,16976.364156723826,20891.73025976064
500.0,18.833333333333332,18.833333333333332,33.833333333333336,0.09831666666666666,6917.762593482086,499.7844237278104,144524030.10408995,8478694.872613307,2023418.8520785605,0.41,4048.583261131289,16957.389745226614,20891.730259760643
600.0,23.5,23.5,44.0,0.0921,8957.911432967108,599.7413084733724,187146269.34837478,11218034.155381013,2367648.9070241004,0.415,3947.7836086543643,18696.72359230169,20891.730259760643
660.0,25.0,25.0,47.0,0.0916,9853.702576263817,659.7154393207096,205860896.28321216,12140808.883003104,2574186.9399914243,0.415,3901.9655848012167,18395.164974247127,20891.73025976064
