,Name,EnergyCapacity
0,KERALA,2439.024390243896
1,ODISHA,2439.024390243896
2,MIZORAM,2439.024390243896
3,PUDUCHERRY,2439.024390243896
4,TAMIL NADU,2439.024390243896
5,TELANGANA,2439.024390243896
6,NAGALAND,2439.024390243896
7,ANDHRA PRADESH,2439.024390243896
8,ASSAM,2439.024390243896
9,JHARKHAND,2439.024390243896
10,MAHARASHTRA,2439.024390243896
11,KARNATAKA,2439.024390243896
12,MANIPUR,2439.024390243896
13,BANGLADESH,3774.57020796231
14,ARUNACHAL PRADESH,3777.0283049603763
15,TRIPURA,3777.054080621231
16,BIHAR,3786.6498099362575
17,GUJARAT,4267.6535112074225
18,MADHYA PRADESH,5035.2083123774855
19,SIKKIM,5035.20831237749
20,MEGHALAYA,5035.208312377491
21,RAJASTHAN,5035.208312377492
22,WEST BENGAL,5402.043436271411
23,BHUTAN,5477.326184082891
24,UTTAR PRADESH,6295.32246267273
25,NEPAL,6295.322462672732
26,PUNJAB,6295.322462672734
27,GOA,6312.715387266441
28,CHHATTISGARH,7555.961879433643
29,DELHI,7555.961879433645
30,HIMACHAL PRADESH,7555.961879433646
31,DAMAN  DIU,7555.961879433649
32,HARYANA,7558.060757597615
33,UTTARAKHAND,7558.874949436216
34,JAMMU  KASHMIR,8022.46871746273
35,DADRA  NAGAR HAVELI,8194.322909102779
36,CHANDIGARH,13376.394503062811
