Name,Pipes and Valves,Pumps,Charger,Tank Cost,Heat Exchanger,Start-Up Costs,Charging Costs,Industrial Electric Heater Costs,Annualized Capital Cost,Revenue,Profits,Fixed O&M Cost
2,-3.1618971264191287,-2.4487083300521184,-2.0616282533963854,-134.0944008685264,-7.526608295886512,-5.838057533556299,-66.2292387171537,-0.0,-149.40174962445928,153.7992197110126,-157.4545720099445,-89.78474584578773
5,-3.1273889178407814,-2.4694353711089274,-2.039128122957358,-119.36783323690757,-5.883041784962804,-5.579701580962539,-66.10715590536921,-0.0,-132.9941499665647,154.1465579761445,-139.33930552444573,-88.80485604769387
4,-3.264695033121331,-2.5589193109204253,-2.1286548075105225,-110.76320499538699,-7.663001062458849,-5.553759881478023,-66.33927636282682,-0.0,-126.49050967295133,156.9115871454567,-134.17573820967286,-92.7037794378733
3,-3.0452840354348463,-2.301311458369168,-1.9855938874834915,-90.40423053485384,-5.728469535223459,-6.444045609594582,-65.48929706438315,-0.0,-103.5693943928113,150.28878268896156,-111.68737277755977,-86.47341839973228
0,-3.1476167077428983,-2.483676203198354,-2.0523170982777534,-80.09326547569628,-5.8965151815834815,-5.55049090938651,-66.48298835183691,-0.0,-93.7814073558818,154.78357539115282,-100.41055249326925,-89.37924126731687
1,-3.1704528420473355,-2.501822020543222,-2.067206772988233,-67.22862214333462,-5.939646868768347,-5.524986382278408,-66.08973757701797,-0.0,-81.0165510041548,155.20379685177912,-87.45517074620535,-90.0276926345333
6,-2.2802799152945683,-1.8251117874001002,-1.4867939439723696,-59.880181136463854,-4.34324344581674,-4.06834000588282,-69.37187187256293,-0.0,-69.89386254178828,156.42311933506735,-51.66143382191178,-64.75047873674508
7,-1.7323054326501544,-1.3865188406479485,-1.1295022199245963,-54.19536967609489,-3.2995178206174685,-2.695357392305092,-74.51964523233539,-0.0,-61.80266147519424,162.02208111629642,-26.18586235670587,-49.190279373167186
8,-1.4574185635894454,-1.1665023147998934,-0.950269780321149,-38.380378225164485,-2.7759414893165895,-2.267650857068465,-77.32312389074733,-0.0,-44.780524572155834,161.68706468424116,-4.068868635826997,-41.38463400009615
9,-1.3317810053607773,-1.0659433496810482,-0.8683512581884267,-20.488411185357407,-2.536639946701111,-2.044537893803131,-78.35898574447451,-0.0,-26.33682944308816,160.57582664372543,16.018424396062166,-37.81704916629689
