,salt_temp_diff,effs,profit,hours
0,475.0,0.21,3100.28499455839,2.0
1,275.0,0.36,-551.9110241814928,2.0
2,575.0,0.17,4955.858666018033,2.0
3,375.0,0.26,1578.5935392159988,2.0
4,675.0,0.14,7016.801396395864,2.0
5,475.0,0.21,4643.268900064068,3.0
6,575.0,0.17,7332.742361533079,3.0
7,275.0,0.36,-551.9110220360922,3.0
8,375.0,0.26,2385.4389810110088,3.0
9,675.0,0.14,10497.180300895316,3.0
10,475.0,0.21,6333.776432443181,4.0
11,575.0,0.17,10031.423390235741,4.0
12,675.0,0.14,13965.670302114942,4.0
13,275.0,0.36,-550.563989115044,4.0
14,375.0,0.26,3284.569633355308,4.0
15,475.0,0.21,8182.323211078148,5.0
16,575.0,0.17,12646.529417585554,5.0
17,675.0,0.14,17519.74308832456,5.0
18,275.0,0.36,-506.8425652420483,5.0
19,375.0,0.26,4211.868652752135,5.0
20,575.0,0.17,15540.953860695206,6.0
21,475.0,0.21,10107.034870914598,6.0
22,675.0,0.14,21062.406295130248,6.0
23,275.0,0.36,-416.5840408580161,6.0
24,375.0,0.26,5423.462761297511,6.0
25,575.0,0.17,18166.39336699962,7.0
26,475.0,0.21,11968.561497082745,7.0
27,275.0,0.36,-276.05979534904145,7.0
28,375.0,0.26,6622.338584691521,7.0
29,575.0,0.17,21105.648150128854,8.0
30,475.0,0.21,13991.528038055505,8.0
31,275.0,0.36,-25.881028262541804,8.0
32,375.0,0.26,8069.657477155996,8.0
33,475.0,0.21,16384.153217798965,9.0
34,375.0,0.26,9235.121170241571,9.0
35,275.0,0.36,272.8473351162929,9.0
36,475.0,0.21,18635.875333369033,10.0
37,275.0,0.36,623.9495955833518,10.0
38,375.0,0.26,10730.764017421294,10.0
